State,REGION,SEX,CITY,Zipcode,DISTRICT,VILLAGE,MARITAL_STATUS,Location,Address type,Ownership,No_of_Active_Loan_In_Bureau,Avg_Disbursement_Amount_Bureau,Non_Agriculture_Income,Total_Land_For_Agriculture,"K022-Village category based on Agri parameters (Good, Average, Poor)",K022-Nearest Mandi Name,K022-Proximity to nearest mandi (Km),K022-Proximity to nearest railway (Km),KO22-Village score based on socio-economic parameters (0 to 100),"K022-Village category based on socio-economic parameters (Good, Average, Poor)",K022-Seasonal Average Rainfall (mm),K022-Ambient temperature (min & max),"R022-Village category based on Agri parameters (Good, Average, Poor)",R022-Seasonal Average Rainfall (mm),R022-Ambient temperature (min & max),K021-Seasonal Average Rainfall (mm),K021-Ambient temperature (min & max),R021-Seasonal Average Rainfall (mm),R021-Ambient temperature (min & max),R020-Seasonal Average Rainfall (mm),R020-Ambient temperature (min & max),Perc_of_house_with_6plus_room,Women_15_19_Mothers_or_Pregnant_at_time_of_survey,perc_of_pop_living_in_hh_electricity,perc_Households_with_Pucca_House_That_Has_More_Than_3_Rooms,mat_roof_Metal_GI_Asbestos_sheets,perc_of_Wall_material_with_Burnt_brick,Households_with_improved_Sanitation_Facility,perc_Households_do_not_have_KCC_With_The_Credit_Limit_Of_50k,K022-Total Geographical Area (in Hectares)-,K022-Net Agri area (in Ha)-,K022-Net Agri area (% of total geog area)-,Kharif Seasons  Irrigated area in 2022,Kharif Seasons  Cropping density in 2022,Kharif Seasons  Agricultural performance in 2022,Kharif Seasons  Agricultural Score in 2022,Kharif Seasons  Type of soil in 2022,Kharif Seasons  Type of water bodies in hectares 2022,Kharif Seasons  Agro Ecological Sub Zone in 2022,Kharif Seasons  Seasonal average groundwater thickness (cm) in 2022,Kharif Seasons  Seasonal average groundwater replenishment rate (cm) in 2022,Rabi Seasons  Season Irrigated area in 2022,Rabi Seasons Cropping density in 2022,Rabi Seasons Agricultural performance in 2022,Rabi Seasons Agricultural Score in 2022,Rabi Seasons Type of soil in 2022,Rabi Seasons Type of water bodies in hectares 2022,Rabi Seasons Agro Ecological Sub Zone in 2022,Rabi Seasons Seasonal average groundwater thickness (cm) in 2022,Rabi Seasons Seasonal average groundwater replenishment rate (cm) in 2022,Rabi Seasons Kharif Season Irrigated area in 2021,Rabi Seasons Cropping density in 2021,Rabi Seasons Agricultural performance in 2021,Rabi Seasons Agricultural Score in 2021,Rabi Seasons Type of soil in 2021,Rabi Seasons Type of water bodies in hectares 2021,Rabi Seasons Agro Ecological Sub Zone in 2021,Rabi Seasons Seasonal average groundwater thickness (cm) in 2021,Rabi Seasons Seasonal average groundwater replenishment rate (cm) in 2021,Kharif Seasons Kharif Season Irrigated area in 2021,Kharif Seasons Cropping density in 2021,Kharif Seasons Agricultural performance in 2021,Kharif Seasons Agricultural Score in 2021,Kharif Seasons Type of soil in 2021,Kharif Seasons Type of water bodies in hectares 2021,Kharif Seasons Agro Ecological Sub Zone in 2021,Kharif Seasons Seasonal average groundwater thickness (cm) in 2021,Kharif Seasons Seasonal average groundwater replenishment rate (cm) in 2021,Kharif Seasons Kharif Season Irrigated area in 2020,Kharif Seasons Cropping density in 2020,Kharif Seasons Agricultural performance in 2020,Kharif Seasons Agricultural Score in 2020,Kharif Seasons Type of soil in 2020,Kharif Seasons Type of water bodies in hectares 2020,Kharif Seasons Agro Ecological Sub Zone in 2020,Kharif Seasons Seasonal average groundwater thickness (cm) in 2020,Kharif Seasons Seasonal average groundwater replenishment rate (cm) in 2020,Rabi Seasons Kharif Season Irrigated area in 2020,Rabi Seasons Cropping density in 2020,Rabi Seasons Agricultural performance in 2020,Rabi Seasons Agricultural Score in 2020,Rabi Seasons Type of soil in 2020,Rabi Seasons Type of water bodies in hectares 2020,Rabi Seasons Agro Ecological Sub Zone in 2020,Rabi Seasons Seasonal average groundwater thickness (cm) in 2020,Rabi Seasons Seasonal average groundwater replenishment rate (cm) in 2020, Village score based on socio-economic parameters (Non normalised), Village score based on socio-economic parameters (0 to 100)," Village category based on socio-economic parameters (Good, Average, Poor)", Road density (Km/ SqKm),Pred_RandomForest,Pred_DecisionTree,Pred_KNN,BestModelPred,ClusterLabel
TELANGANA,SOUTH,M,PENUBALLI,507209.0,KHAMMAM,Chennuru,M,"17.1257783,80.4971882",Permanent Address,Owned,1.0,100000.0,700000.0,10.0,Average,Kallur,7.3,16.2,43.19516759724968,Average,1361.99,24.99 /31.45,Poor,73.65,21.48 /31.77,1002.81,25.16 /31.24,103.51,21.18 /32.13,118.35,22.31 /32.03,0.7,6.02,99.59,13.42,6.69,59.03,76.3,0.46,1520.4,1140.03,74.98,70.19,75.63,29.65,34.61,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,88.76,21.38,28.12,44.55,12.67,14.62,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,83.8,11.76,68.51,90.54,33.85,43.54,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,85.54,20.76,28.12,44.55,4.16,10.28,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,82.06,14.48,68.51,90.54,14.84,26.66,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,85.97,25.87,46.56,70.5,21.61,21.88,Mixed Red and Black Soils,['water'],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,82.48,16.22,28.3457858508854,43.19516759724968,Average,4.35,Low,Very High,Low,Very High,3
KARNATAKA,SOUTH,M,HASSAN,573219.0,HASSAN,Vedavathi,S,"13.1396464,76.1532015",Permanent Address,Owned,1.0,43000.0,100000.0,6.0,Poor,Hassan,15.6,5.8,34.39939620219985,Poor,1087.54,19.19 /25.21,Poor,435.56,17.49 /27.85,725.7,19.52 /25.01,201.03,17.26 /27.9,169.34,17.95 /28.28,1.3,6.4,99.3,6.97,3.92,49.56,87.9,0.59,81.99,16.753,20.43,52.86,67.54,5.43,16.29,Red loamy Soils,[None],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,114.11,30.43,85.29,26.03,20.45,25.75,Red loamy Soils,[None],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,111.0,36.59,76.65,11.38,18.6,28.62,Red loamy Soils,[None],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,103.32,33.92,85.29,26.03,33.04,29.98,Red loamy Soils,[None],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,110.32,29.84,76.65,11.38,17.06,26.18,Red loamy Soils,[None],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,106.1,43.99,77.82,18.42,18.6,22.83,Red loamy Soils,[None],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,102.26,38.2,22.9184545284124,34.39939620219985,Poor,32.28,Medium,Medium,Medium,Medium,1
KARNATAKA,SOUTH,F,HASSAN,573219.0,HASSAN,Vedavathi,M,"13.1384466,76.1553568",Permanent Address,Owned,4.0,112175.0,100000.0,5.0,Poor,Hassan,15.6,5.8,34.39939620219985,Poor,1087.54,19.19 /25.21,Poor,435.56,17.49 /27.85,725.7,19.52 /25.01,201.03,17.26 /27.9,169.34,17.95 /28.28,1.3,6.4,99.3,6.97,3.92,49.56,87.9,0.59,81.99,16.753,20.43,52.86,67.54,5.43,16.29,Red loamy Soils,[None],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,114.11,30.43,85.29,26.03,20.45,25.75,Red loamy Soils,[None],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,111.0,36.59,76.65,11.38,18.6,28.62,Red loamy Soils,[None],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,103.32,33.92,85.29,26.03,33.04,29.98,Red loamy Soils,[None],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,110.32,29.84,76.65,11.38,17.06,26.18,Red loamy Soils,[None],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,106.1,43.99,77.82,18.42,18.6,22.83,Red loamy Soils,[None],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,102.26,38.2,22.9184545284124,34.39939620219985,Poor,32.28,Medium,Medium,Medium,Medium,1
KARNATAKA,SOUTH,M,SHIMOGA,577227.0,SHIMOGA,Agaradahalli,M,"13.9924541,75.711496",Permanent Address,Owned,3.0,466454.333333333,595000.0,2.0,Poor,Channagiri,11.6,18.5,36.7275598971046,Poor,917.35,20.61 /26.32,Poor,536.0,19.29 /29.62,776.9,20.87 /26.11,164.59,19.09 /30.04,124.31,19.92 /30.27,3.16,2.44,99.5,10.47,7.32,45.1,85.48,0.52,816.92,200.013,24.48,27.62,65.89,0.5,7.92,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,113.18,28.72,68.32,40.99,18.07,21.73,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,111.71,30.25,57.42,92.8,7.05,26.83,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,105.59,30.07,68.32,40.99,2.63,14.22,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,113.45,28.48,57.42,92.8,22.01,23.77,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,110.02,40.51,58.89,35.33,18.31,19.53,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,104.06,31.86,24.3550216215854,36.7275598971046,Poor,1.61,Very High,Very High,Very High,Very High,0
KARNATAKA,SOUTH,M,SHIMOGA,577227.0,SHIMOGA,Agaradahalli,M,"13.9408194,75.5750641",Permanent Address,Owned,4.0,56903.0,200000.0,4.0,Poor,Channagiri,11.6,18.5,36.7275598971046,Poor,917.35,20.61 /26.32,Poor,536.0,19.29 /29.62,776.9,20.87 /26.11,164.59,19.09 /30.04,124.31,19.92 /30.27,3.16,2.44,99.5,10.47,7.32,45.1,85.48,0.52,816.92,200.013,24.48,27.62,65.89,0.5,7.92,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,113.18,28.72,68.32,40.99,18.07,21.73,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,111.71,30.25,57.42,92.8,7.05,26.83,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,105.59,30.07,68.32,40.99,2.63,14.22,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,113.45,28.48,57.42,92.8,22.01,23.77,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,110.02,40.51,58.89,35.33,18.31,19.53,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,104.06,31.86,24.3550216215854,36.7275598971046,Poor,1.61,Very High,Very High,Very High,Very High,0
KARNATAKA,SOUTH,M,SHIMOGA,577227.0,SHIMOGA,Agaradahalli,M,"23.855855855855857,78.7455814494491",Permanent Address,Owned,6.0,404618.5,100000.0,3.0,Poor,Channagiri,11.6,18.5,36.7275598971046,Poor,917.35,20.61 /26.32,Poor,536.0,19.29 /29.62,776.9,20.87 /26.11,164.59,19.09 /30.04,124.31,19.92 /30.27,3.16,2.44,99.5,10.47,7.32,45.1,85.48,0.52,816.92,200.013,24.48,27.62,65.89,0.5,7.92,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,113.18,28.72,68.32,40.99,18.07,21.73,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,111.71,30.25,57.42,92.8,7.05,26.83,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,105.59,30.07,68.32,40.99,2.63,14.22,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,113.45,28.48,57.42,92.8,22.01,23.77,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,110.02,40.51,58.89,35.33,18.31,19.53,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,104.06,31.86,24.3550216215854,36.7275598971046,Poor,1.61,Very High,Low,Very High,Low,0
KARNATAKA,SOUTH,M,SHIMOGA,577227.0,SHIMOGA,Agaradahalli,S,"23.855855855855857,78.7455814494491",Permanent Address,Owned,17.0,140064.882352941,200000.0,4.0,Poor,Channagiri,11.6,18.5,36.7275598971046,Poor,917.35,20.61 /26.32,Poor,536.0,19.29 /29.62,776.9,20.87 /26.11,164.59,19.09 /30.04,124.31,19.92 /30.27,3.16,2.44,99.5,10.47,7.32,45.1,85.48,0.52,816.92,200.013,24.48,27.62,65.89,0.5,7.92,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,113.18,28.72,68.32,40.99,18.07,21.73,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,111.71,30.25,57.42,92.8,7.05,26.83,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,105.59,30.07,68.32,40.99,2.63,14.22,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,113.45,28.48,57.42,92.8,22.01,23.77,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,110.02,40.51,58.89,35.33,18.31,19.53,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,104.06,31.86,24.3550216215854,36.7275598971046,Poor,1.61,Very High,Very High,Very High,Very High,0
KARNATAKA,SOUTH,M,SHIMOGA,577227.0,SHIMOGA,Agaradahalli,M,"23.855855855855857,78.7455814494491",Permanent Address,Owned,4.0,232738.25,250000.0,3.0,Poor,Channagiri,11.6,18.5,36.7275598971046,Poor,917.35,20.61 /26.32,Poor,536.0,19.29 /29.62,776.9,20.87 /26.11,164.59,19.09 /30.04,124.31,19.92 /30.27,3.16,2.44,99.5,10.47,7.32,45.1,85.48,0.52,816.92,200.013,24.48,27.62,65.89,0.5,7.92,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,113.18,28.72,68.32,40.99,18.07,21.73,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,111.71,30.25,57.42,92.8,7.05,26.83,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,105.59,30.07,68.32,40.99,2.63,14.22,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,113.45,28.48,57.42,92.8,22.01,23.77,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,110.02,40.51,58.89,35.33,18.31,19.53,Red loamy Soils,['water'],EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,104.06,31.86,24.3550216215854,36.7275598971046,Poor,1.61,Very High,Low,Very High,Low,0
TELANGANA,SOUTH,M,BEJJUR,504219.0,KOMARAM BHEEM ASIFABAD,Bopparam,M,"19.0793934,79.5896882",Permanent Address,Owned,0.0,130000.0,10000.0,15.0,Poor,Chinnoar,12.5,23.3,36.76088602353055,Average,2336.59,24.8 /31.24,Poor,47.4,21.02 /31.97,1090.91,24.78 /30.91,31.35,20.48 /32.48,148.77,21.57 /31.18,0.09,6.27,99.59,4.22,19.8,33.68,76.42,0.71,2675.38,201.86,7.55,32.02,54.44,3.84,10.74,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,85.16,26.7,5.02,18.04,1.84,2.45,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,74.09,12.14,28.3,74.58,1.46,15.04,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,75.05,21.61,5.02,18.04,2.76,2.69,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,76.93,17.44,28.3,74.58,1.29,8.45,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,81.77,25.45,18.85,59.12,3.3,6.02,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,77.28,19.69,24.375585131218,36.76088602353055,Average,0.0,Medium,High,High,High,0
TELANGANA,SOUTH,M,VEMANPALLE,504214.0,MANCHERIAL,Bopparam,M,"23.855855855855857,78.7455814494491",Permanent Address,Owned,4.0,111000.0,200000.0,14.04,Poor,Chinnoar,12.5,23.3,36.76088602353055,Average,2336.59,24.8 /31.24,Poor,47.4,21.02 /31.97,1090.91,24.78 /30.91,31.35,20.48 /32.48,148.77,21.57 /31.18,0.0,5.8,99.6,1.86,5.1,28.67,76.2,4.9,2675.38,201.86,7.55,32.02,54.44,3.84,10.74,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,85.16,26.7,5.02,18.04,1.84,2.45,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,74.09,12.14,28.3,74.58,1.46,15.04,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,75.05,21.61,5.02,18.04,2.76,2.69,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,76.93,17.44,28.3,74.58,1.29,8.45,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,81.77,25.45,18.85,59.12,3.3,6.02,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,77.28,19.69,24.375585131218,36.76088602353055,Average,0.0,Medium,High,High,High,0
TELANGANA,SOUTH,M,VEMANPALLE,504214.0,MANCHERIAL,Bopparam,M,"18.8521184,79.7767836",Permanent Address,Owned,7.0,279333.142857142,10000.0,20.0,Poor,Chinnoar,12.5,23.3,36.76088602353055,Average,2336.59,24.8 /31.24,Poor,47.4,21.02 /31.97,1090.91,24.78 /30.91,31.35,20.48 /32.48,148.77,21.57 /31.18,0.0,5.8,99.6,1.86,5.1,28.67,76.2,4.9,2675.38,201.86,7.55,32.02,54.44,3.84,10.74,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,85.16,26.7,5.02,18.04,1.84,2.45,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,74.09,12.14,28.3,74.58,1.46,15.04,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,75.05,21.61,5.02,18.04,2.76,2.69,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,76.93,17.44,28.3,74.58,1.29,8.45,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,81.77,25.45,18.85,59.12,3.3,6.02,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,77.28,19.69,24.375585131218,36.76088602353055,Average,0.0,Medium,High,High,High,0
TELANGANA,SOUTH,M,NAKREKAL,508211.0,NALGONDA,Bopparam,M,"23.855855855855857,78.7455814494491",Permanent Address,Owned,0.0,130000.0,200000.0,3.06,Poor,Chinnoar,12.5,23.3,36.76088602353055,Average,2336.59,24.8 /31.24,Poor,47.4,21.02 /31.97,1090.91,24.78 /30.91,31.35,20.48 /32.48,148.77,21.57 /31.18,1.05,5.8,99.6,10.45,27.02,55.59,76.2,0.2,2675.38,201.86,7.55,32.02,54.44,3.84,10.74,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,85.16,26.7,5.02,18.04,1.84,2.45,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,74.09,12.14,28.3,74.58,1.46,15.04,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,75.05,21.61,5.02,18.04,2.76,2.69,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,76.93,17.44,28.3,74.58,1.29,8.45,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,81.77,25.45,18.85,59.12,3.3,6.02,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,77.28,19.69,24.375585131218,36.76088602353055,Average,0.0,High,High,Medium,High,0
MAHARASHTRA,WEST,F,BULDANA,443001.0,BULDANA,Sagwan,M,"20.3288866,76.2579927",Permanent Address,Owned,0.0,130000.0,400000.0,20.0,Poor,Buldhana,0.9,40.4,48.49729693299798,Average,1218.98,22.61 /29.15,Poor,56.33,19.1 /30.29,809.74,22.67 /29.27,131.46,19.69 /31.5,159.61,19.23 /29.82,1.38,5.7,97.1,6.05,65.12,41.89,68.9,2.4,847.91,472.61,55.74,47.4,67.93,27.05,25.74,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,100.98,27.72,43.49,77.98,17.68,18.11,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,97.8,17.97,84.2,81.44,31.37,43.72,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,96.1,22.18,43.49,77.98,21.42,18.58,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,96.05,25.0,84.2,81.44,33.15,35.96,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,99.0,26.55,86.72,83.85,25.89,29.49,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,98.91,23.0,31.6174048286029,48.49729693299798,Average,4.23,High,Very High,Very High,Very High,3
MADHYA PRADESH,CENTRAL,M,TENDUKHEDA,487334.0,NARSIMHAPUR,Chhatarpur,M,"22.929723,79.060516",Permanent Address,Owned,5.0,11000.0,0.0,21.0,Poor,Chhatarpur,0.0,0.0,48.30969025404276,Average,1275.7,24.73 /32.06,Poor,120.05,15.28 /27.97,842.87,24.96 /32.08,204.19,15.84 /29.06,143.82,15.66 /27.15,0.44,6.5,99.0,2.33,0.44,26.91,77.0,7.75,1986.33,354.89,17.87,56.65,76.05,4.02,17.64,Mixed Red and Black Soils,"['reservoir, water']",CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,92.71,17.45,37.45,48.9,9.89,12.87,Mixed Red and Black Soils,"['reservoir, water']",CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,92.13,9.79,51.79,51.65,10.27,23.23,Mixed Red and Black Soils,"['reservoir, water']",CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,90.15,10.94,37.45,48.9,0.86,8.42,Mixed Red and Black Soils,"['reservoir, water']",CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,90.92,16.26,51.79,51.65,10.27,18.3,Mixed Red and Black Soils,"['reservoir, water']",CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,92.44,14.83,54.74,27.28,17.08,18.88,Mixed Red and Black Soils,"['reservoir, water']",CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,94.28,15.29,31.5016442478343,48.30969025404276,Average,6.08,Medium,Medium,Medium,Medium,0
